Title,Description,Status,Priority,Estimate,Labels,Project
"E1-S1 Provision Supabase Storage bucket + RLS policies","Create a `ticket-attachments` bucket on Supabase Storage. Service-role write, signed-URL read scoped by user-role + acceptance gate. Default visibility: private. Set max file size 25 MB; allowed MIME types: image/jpeg, image/png, image/webp, image/heic, video/mp4 (no preview yet), audio/ogg.",Todo,High,1,"infra;storage;security",Image Attachments
"E1-S2 Telegram → Supabase storage download/upload pipeline","Add `services/attachmentService.ts` with `downloadFromTelegramAndStore(file_id, ticket_id, org_id) → { storage_path, mime_type, size }`. Uses Bot API `getFile` → fetch bytes → `supabase.storage.from('ticket-attachments').upload(path, bytes)`. Returns canonical path like `org/<org_id>/ticket/<ticket_id>/<uuid>.<ext>`.",Todo,High,3,"backend;storage;telegram",Image Attachments
"E1-S3 Persist canonical path + metadata in ticket_attachments","On attachment insert (currently in `services/telegramFlow.ts` and `app/api/webhooks/telegram/route.ts`), call the new pipeline and store the canonical path in `ticket_attachments.storage_path`. Move the Telegram file_id into `metadata_json.telegram_file_id` for audit.",Todo,High,1,"backend;telegram",Image Attachments
"E1-S4 Inline image preview in ticket detail page","Add an Attachments section to `app/(dashboard)/tickets/[id]/page.tsx`. Renders inline thumbnails for image MIME types; falls back to a download link for non-images. Visibility gate: privileged roles always; ground_worker only after `citizen_identity_revealed_at`; leaders see metadata only.",Todo,High,2,"frontend;tickets;privacy",Image Attachments
"E1-S5 Backfill existing telegram: pointers","One-time script `scripts/backfill-telegram-attachments.ts`. Reads all `ticket_attachments` where `storage_path LIKE 'telegram:%'`, resolves and uploads each via the new pipeline, rewrites the storage_path. Idempotent. Handles Telegram's 1-year file_id expiry by skipping with a warning.",Todo,Medium,2,"backend;migration;background",Image Attachments
"E1-S6 Retention policy + cleanup cron","Per-org retention column (`organization_settings.attachment_retention_months`, default 24). Cron deletes storage objects older than the window. Defer until post-launch if W3 timing is tight.",Backlog,Low,2,"infra;cron",Image Attachments
"E2-S1 Extend Amplify source schema to include note_ids[]","Add `note_ids: string[]` to the `amplify_sessions.metadata_json` shape. No migration needed (JSONB column). Update TypeScript types in `types/database.ts` (or wherever AmplifySession is typed).",Todo,High,1,"backend;amplify",Amplify From Notes
"E2-S2 Extend Amplify source schema to include attachment_ids[]","Add `attachment_ids: string[]` to the `amplify_sessions.metadata_json` shape. Same channel as S1.",Todo,High,1,"backend;amplify",Amplify From Notes
"E2-S3 AmplifyEditor UI — note checklist on the left pane","In `components/amplify/AmplifyEditor.tsx`, fetch ticket notes (non-soft-deleted) and render a checkbox list under Sources. Show author full name + timestamp + first ~80 chars of note text. Selection state persists to the session via PATCH /api/amplify/sessions/[id].",Todo,High,2,"frontend;amplify",Amplify From Notes
"E2-S4 AmplifyEditor UI — attachment thumbnail picker","Same component. Pull `ticket_attachments` filtered to image MIMEs. Click to toggle selected; selected count badge on the section header. Uses the same signed-URL flow as E1-S4.",Todo,High,2,"frontend;amplify",Amplify From Notes
"E2-S5 Prompt builder — embed selected note text into context","Update `services/amplifyService.ts` `generateAmplifyContent` to read `note_ids` from the session, fetch the note rows, and inline their `body_text` into the prompt's sources block. Cap total note text to ~3000 chars; if exceeded, prefer notes marked `is_internal=false` first, then newest internals.",Todo,High,1,"backend;amplify;prompt",Amplify From Notes
"E2-S6 Prompt builder — pass image URLs as references","Same service. For each `attachment_id` in the session, fetch a long-lived signed URL and pass into the prompt as `[Image: <url>] — caption: <attachment.caption or 'photo from citizen'>`. The generated draft can reference them as `[Image 1]`, `[Image 2]` etc. and central support arranges in their CMS.",Todo,High,1,"backend;amplify;prompt",Amplify From Notes
"E2-S7 Audit log — record selected note + attachment IDs","Extend the `amplify_content_generated` audit event payload with `note_ids: string[]` and `attachment_ids: string[]`. Helps trace which materials seeded a public-facing draft.",Todo,Medium,1,"backend;audit;amplify",Amplify From Notes
"E3-S1 Read intake_conversation_version per inbound message","In `app/api/webhooks/telegram/route.ts`, call `getIntakeVersion(ORG_ID)` (from `services/intakeSettingsService`) before dispatching to the conversation engine. Cache in-memory for 30s to avoid hammering Supabase.",Todo,High,1,"backend;intake;telegram",W2-D3 Intake V2 Webhook
